"","run_date","experiment","start_time","culture","diet","tube","minute","second","time","rank","ct_max","ramp_rate","length","sex"
"1",2022-10-27,"two",1899-12-31 18:30:00,"July","fed",1,73,5,71.0833333333333,2,36.03125,0.15751748251748,NA,NA
"2",2022-10-27,"two",1899-12-31 18:30:00,"July","fed",2,69,55,67.9166666666667,5,35.4541666666667,0.170454545454532,NA,NA
"3",2022-10-27,"two",1899-12-31 18:30:00,"July","starvation",3,26,39,24.65,10,26.5399305555556,0.229195804195797,NA,NA
"4",2022-10-27,"two",1899-12-31 18:30:00,"July","starvation",4,65,45,63.75,7,34.7083333333333,0.175524475524472,NA,NA
"5",2022-10-27,"two",1899-12-31 18:30:00,"July","fed",5,72,30,70.5,4,35.9322916666667,0.159265734265728,NA,NA
"6",2022-10-27,"two",1899-12-31 18:30:00,"July","fed",6,65,14,63.2333333333333,8,34.6157407407407,0.175524475524472,NA,NA
"7",2022-10-27,"two",1899-12-31 18:30:00,"July","starvation",7,30,37,28.6166666666667,9,27.4659090909091,0.248251748251742,NA,NA
"8",2022-10-27,"two",1899-12-31 18:30:00,"July","starvation",8,72,41,70.6833333333333,3,35.9583333333333,0.159265734265728,NA,NA
"9",2022-10-27,"two",1899-12-31 18:30:00,"July","fed",9,67,2,65.0333333333333,6,34.9523809523809,0.176748251748243,NA,NA
"10",2022-10-27,"two",1899-12-31 18:30:00,"July","fed",10,73,29,71.4833333333333,1,36.125,0.15751748251748,NA,NA
