"run_date","experiment","start_time","culture","diet","tube","minute","second","time","rank","ct_max","ramp_rate","length","sex","run","cumul_day","rep","rep_day"
"2022-07-10","two","1899-12-31 12:00:00","July","fed",1,71,0,69,7,34.8151041666667,0.181599650349643,0.869,"f",11,0,1,0
"2022-07-10","two","1899-12-31 12:00:00","July","fed",2,72,57,70.95,3,35.1822916666667,0.182167832167826,0.802,"f",11,0,1,0
"2022-07-10","two","1899-12-31 12:00:00","July","fed",3,73,53,71.8833333333333,2,35.375,0.182167832167825,0.82,"f",11,0,1,0
"2022-07-10","two","1899-12-31 12:00:00","July","fed",4,72,41,70.6833333333333,4,35.1416666666667,0.182167832167826,0.771,"f",11,0,1,0
"2022-07-10","two","1899-12-31 12:00:00","July","fed",5,72,19,70.3166666666667,5,35.0520833333333,0.182167832167826,0.818,"f",11,0,1,0
"2022-07-10","two","1899-12-31 12:00:00","July","fed",6,67,51,65.85,10,34.25,0.191258741258734,0.814,"f",11,0,1,0
"2022-07-10","two","1899-12-31 12:00:00","July","fed",7,71,30,69.5,6,34.9077380952381,0.179195804195796,0.773,"f",11,0,1,0
"2022-07-10","two","1899-12-31 12:00:00","July","fed",8,70,18,68.3,8,34.6898148148148,0.18374125874125,0.812,"f",11,0,1,0
"2022-07-10","two","1899-12-31 12:00:00","July","fed",9,69,48,67.8,9,34.5909090909091,0.184090909090899,0.851,"f",11,0,1,0
"2022-07-10","two","1899-12-31 12:00:00","July","fed",10,76,9,74.15,1,35.8125,0.170104895104892,0.805,"f",11,0,1,0
"2022-07-11","two","1899-12-31 12:25:00","July","fed",1,67,14,65.2333333333333,7,34.8671875,0.182517482517474,0.795,"fem",12,1,1,1
"2022-07-11","two","1899-12-31 12:25:00","July","starvation",2,71,11,69.1833333333333,3,35.6302083333333,0.186188811188801,0.792,"fem",12,1,1,1
"2022-07-11","two","1899-12-31 12:25:00","July","fed",3,71,42,69.7,2,35.75,0.186188811188801,0.768,"fem",12,1,1,1
"2022-07-11","two","1899-12-31 12:25:00","July","fed",4,69,46,67.7666666666667,4,35.3625,0.182867132867121,0.799,"fem",12,1,1,1
"2022-07-11","two","1899-12-31 12:25:00","July","fed",5,66,36,64.6,8,34.7416666666667,0.179720279720273,0.857,"fem",12,1,1,1
"2022-07-11","two","1899-12-31 12:25:00","July","starvation",6,66,6,64.1,9,34.6401515151515,0.179720279720273,0.774,"fem",12,1,1,1
